BernalilloCountyS,OteroCountyM,EddyCountyS,McKinleyCountyS,McKinleyCountyM,OteroCountyS,EddyCountyM,date,BernalilloCountyM,ChavesCountyM,ChavesCountyS
,,,,,,,,,,
,,,,4 new cases in McKinley County,,15 new cases in Eddy County,"Aug 19, 2020",33 new cases in Bernalillo County,19 new cases in Chaves County,
,,,,,,,"Aug 19, 2020",,,
,2 new cases in Otero County,,,2 new cases in McKinley County,,9 new cases in Eddy County,"Aug 16, 2020",22 new cases in Bernalillo County,11 new cases in Chaves County,
,,,,,,,"Aug 16, 2020",,,
,,,,10 new cases in McKinley County,,15 new cases in Eddy County,"Aug 13, 2020",38 new cases in Bernalillo County,19 new cases in Chaves County,
,,,,,,,"Aug 13, 2020",,,
,,,,,,,,,,
,,,,6 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"Aug 18, 2020",20 new cases in Bernalillo County,4 new cases in Chaves County,
,,,,,,,"Aug 18, 2020",,,
,2 new cases in Otero County,,,17 new cases in McKinley County,,12 new cases in Eddy County,"Aug 15, 2020",19 new cases in Bernalillo County,9 new cases in Chaves County,
,,,,,,,"Aug 15, 2020",,,
,2 new cases in Otero County,,,11 new cases in McKinley County,,5 new cases in Eddy County,"Aug 10, 2020",26 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Aug 10, 2020",,,
,,,,11 new cases in McKinley County,1 new case in Otero County,18 new cases in Eddy County,"Aug 12, 2020",31 new cases in Bernalillo County,10 new cases in Chaves County,
,,,,,,,"Aug 12, 2020",,,
,5 new cases in Otero County,,,2 new cases in McKinley County,,5 new cases in Eddy County,"Aug 3, 2020",18 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Aug 3, 2020",,,
,5 new cases in Otero County,,,6 new cases in McKinley County,,9 new cases in Eddy County,"Aug 4, 2020",67 new cases in Bernalillo County,17 new cases in Chaves County,
,,,,,,,"Aug 4, 2020",,,
,2 new cases in Otero County,,,16 new cases in McKinley County,,2 new cases in Eddy County,"Aug 5, 2020",45 new cases in Bernalillo County,12 new cases in Chaves County,
,,,,,,,"Aug 5, 2020",,,
,,,,,,,,,,
,,,,10 new cases in McKinley County,,14 new cases in Eddy County,"Aug 11, 2020",36 new cases in Bernalillo County,13 new cases in Chaves County,
,,,,,,,"Aug 11, 2020",,,
,,,,,,,"Aug 6, 2020",,,
,,,,,,,"Aug 6, 2020",,,
,,,,17 new cases in McKinley County,,3 new cases in Eddy County,"Aug 14, 2020",40 new cases in Bernalillo County,14 new cases in Chaves County,
,,,,,,,"Aug 14, 2020",,,
,,,,4 new cases in McKinley County,,3 new cases in Eddy County,"Aug 17, 2020",29 new cases in Bernalillo County,6 new cases in Chaves County,
,,,,,,,"Aug 17, 2020",,,
,2 new cases in Otero County,,,8 new cases in McKinley County,,9 new cases in Eddy County,"Aug 6, 2020",42 new cases in Bernalillo County,16 new cases in Chaves County,
,,,,,,,"Aug 6, 2020",,,
,,,,5 new cases in McKinley County,1 new case in Otero County,6 new cases in Eddy County,"Aug 2, 2020",61 new cases in Bernalillo County,15 new cases in Chaves County,
,,,,,,,"Aug 2, 2020",,,
,,,,6 new cases in McKinley County,1 new case in Otero County,9 new cases in Eddy County,"Aug 8, 2020",34 new cases in Bernalillo County,16 new cases in Chaves County,
,,,,,,,"Aug 8, 2020",,,
,,,,3 new cases in McKinley County,,8 new cases in Eddy County,"Aug 9, 2020",49 new cases in Bernalillo County,22 new cases in Chaves County,
,,,,,,,"Aug 9, 2020",,,
,11 new cases in Otero County,,,24 new cases in McKinley County,,7 new cases in Eddy County,"Jul 24, 2020",96 new cases in Bernalillo County,18 new cases in Chaves County,
,,,,,,,"Jul 24, 2020",,,
,5 new cases in Otero County,,,28 new cases in McKinley County,,4 new cases in Eddy County,"Jul 25, 2020",93 new cases in Bernalillo County,9 new cases in Chaves County,
,,,,,,,"Jul 25, 2020",,,
,,,,,,,,,,
,5 new cases in Otero County,,,14 new cases in McKinley County,,4 new cases in Eddy County,"Jul 26, 2020",91 new cases in Bernalillo County,7 new cases in Chaves County,
,,,,,,,"Jul 26, 2020",,,
,,,,,,,"Aug 7, 2020",,,
,,,,,,,"Aug 7, 2020",,,
,2 new cases in Otero County,,,4 new cases in McKinley County,,6 new cases in Eddy County,"Aug 7, 2020",32 new cases in Bernalillo County,8 new cases in Chaves County,
,,,,,,,"Aug 7, 2020",,,
,21 new cases in Otero County ,,,13 new cases in McKinley County,,4 new cases in Eddy County,"Jul 27, 2020",62 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jul 27, 2020",,,
,6 new cases in Otero County,,,16 new cases in McKinley County,,9 new cases in Eddy County,"Jul 28, 2020",80 new cases in Bernalillo County,21 new cases in Chaves County,
,,,,,,,"Jul 28, 2020",,,
,2 new cases in Otero County,,,35 new cases in McKinley County,,3 new cases in Eddy County,"Jul 30, 2020",63 new cases in Bernalillo County,17 new cases in Chaves County,
,,,,,,,"Jul 30, 2020",,,
,,,,,,,"Jul 30, 2020",,,
,,,,,,,"Jul 30, 2020",,,
,2 new cases in Otero County,,,8 new cases in McKinley County,,3 new cases in Eddy County,"Jul 29, 2020",87 new cases in Bernalillo County,14 new cases in Chaves County,
,,,,,,,"Jul 29, 2020",,,
,3 new cases in Otero County,,,11 new cases in McKinley County,,3 new cases in Eddy County,"Jul 31, 2020",49 new cases in Bernalillo County,18 new cases in Chaves County,
,,,,,,,"Jul 31, 2020",,,
,,,,11 new cases in McKinley County,1 new case in Otero County,5 new cases in Eddy County,"Aug 1, 2020",68 new cases in Bernalillo County,15 new cases in Chaves County,
,,,,,,,"Aug 1, 2020",,,
,,,,12 new cases in McKinley County,1 new case in Otero County,4 new cases in Eddy County,"Jul 15, 2020",162 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jul 15, 2020",,,
,,,,,,,,,,
,4 new cases in Otero County,,,22 new cases in McKinley County,,7 new cases in Eddy County,"Jul 14, 2020",65 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Jul 14, 2020",,,
,5 new cases in Otero County,,,20 new cases in McKinley County,,13 new cases in Eddy County,"Jul 16, 2020",103 new cases in Bernalillo County,4 new cases in Chaves County,
,,,,,,,"Jul 16, 2020",,,
,6 new cases in Otero County,1 new case in Eddy County,,16 new cases in McKinley County,,,"Jul 17, 2020",111 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Jul 17, 2020",,,
,3 new cases in Otero County,,,19 new cases in McKinley County,,5 new cases in Eddy County,"Jul 18, 2020",99 new cases in Bernalillo County,8 new cases in Chaves County,
,,,,,,,"Jul 18, 2020",,,
,2 new cases in Otero County,,,11 new cases in McKinley County,,8 new cases in Eddy County,"Jul 19, 2020",99 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Jul 19, 2020",,,
,4 new cases in Otero County,,,13 new cases in McKinley County,,7 new cases in Eddy County,"Jul 20, 2020",88 new cases in Bernalillo County,15 new cases in Chaves County,
,,,,,,,"Jul 20, 2020",,,
,7 new cases in Otero County,,,35 new cases in McKinley County,,6 new cases in Eddy County,"Jul 22, 2020",89 new cases in Bernalillo County,7 new cases in Chaves County,
,,,,,,,"Jul 22, 2020",,,
,7 new cases in Otero County,,,16 new cases in McKinley County,,9 new cases in Eddy County,"Jul 21, 2020",60 new cases in Bernalillo County,11 new cases in Chaves County,
,,,,,,,"Jul 21, 2020",,,
,7 new cases in Otero County,,,26 new cases in McKinley County,,6 new cases in Eddy County,"Jul 23, 2020",126 new cases in Bernalillo County,6 new cases in Chaves County,
,,,,,,,"Jul 23, 2020",,,
,,,,12 new cases in McKinley County,1 new case in Otero County,3 new cases in Eddy County,"Jul 7, 2020",88 new cases in Bernalillo County,6 new cases in Chaves County,
,,,,,,,"Jul 7, 2020",,,
,,,,,,,"Jul 8, 2020",,,
,,,,,,,"Jul 8, 2020",,,
,,,,,,,,,,
,,,,23 new cases in McKinley County,1 new case in Otero County,9 new cases in Eddy County,"Jul 8, 2020",99 new cases in Bernalillo County,14 new cases in Chaves County,
,,,,,,,"Jul 8, 2020",,,
,2 new cases in Otero County,,,20 new cases in McKinley County,,6 new cases in Eddy County,"Jul 9, 2020",97 new cases in Bernalillo County,4 new cases in Chaves County,
,,,,,,,"Jul 9, 2020",,,
,,,,28 new cases in McKinley County,1 new case in Otero County,2 new cases in Eddy County,"Jun 30, 2020",36 new cases in Bernalillo County,5 new cases in Chaves County,
,,,,,,,"Jun 30, 2020",,,
,,,,,,,"Jul 9, 2020",,,
,,,,,,,"Jul 9, 2020",,,
,,,,15 new cases in McKinley County,1 new case in Otero County,13 new cases in Eddy County,"Jul 11, 2020",80 new cases in Bernalillo County,,1 new case in Chaves County
