date,BernalilloCountyM,BernalilloCountyS,McKinleyCountyM,McKinleyCountyS,EddyCountyM,EddyCountyS,ChavesCountyM,ChavesCountyS,OteroCountyM,OteroCountyS
,,,,,,,,,,
"Jun 15, 2021",,,,,,,,,,
"Jun 15, 2021",,,,,,,,,,
"Jun 23, 2021",23 new cases in Bernalillo County,,,,2 new cases in Eddy County,,,1 new case in Chaves County,5 new cases in Otero County,
"Jun 23, 2021",,,,,,,,,,
"Jun 11, 2021",,,,,,,,,,
"Jun 11, 2021",,,,,,,,,,
"Jun 16, 2021",22 new cases in Bernalillo County,,,1 new case in McKinley County,3 new cases in Eddy County,,,,,
"Jun 16, 2021",,,,,,,,,,
"Jun 17, 2021",23 new cases in Bernalillo County,,3 new cases in McKinley County,,3 new cases in Eddy County,,2 new cases in Chaves County,,,1 new case in Otero County
"Jun 17, 2021",,,,,,,,,,
"Jun 22, 2021",29 new cases in Bernalillo County,,,1 new case in McKinley County,4 new cases in Eddy County,,,1 new case in Chaves County,4 new cases in Otero County,
"Jun 22, 2021",,,,,,,,,,
"Jun 21, 2021",55 new cases in Bernalillo County,,3 new cases in McKinley County,,6 new cases in Eddy County,,2 new cases in Chaves County,,,
"Jun 21, 2021",,,,,,,,,,
"Jun 14, 2021",57 new cases in Bernalillo County,,4 new cases in McKinley County,,6 new cases in Eddy County,,11 new cases in Chaves County,,6 new cases in Otero County,
"Jun 14, 2021",,,,,,,,,,
"Jun 12, 2021",,,,,,,,,,
"Jun 12, 2021",,,,,,,,,,
,,,,,,,,,,
"Jun 14, 2021",,,,,,,,,,
"Jun 14, 2021",,,,,,,,,,
"Jun 4, 2021",,,,,,,,,,
"Jun 4, 2021",,,,,,,,,,
"Jun 9, 2021",29 new cases in Bernalillo County,,,1 new case in McKinley County,3 new cases in Eddy County,,4 new cases in Chaves County,,4 new cases in Otero County,
"Jun 9, 2021",,,,,,,,,,
"Jun 10, 2021",20 new cases in Bernalillo County,,2 new cases in McKinley County,,3 new cases in Eddy County,,3 new cases in Chaves County,,9 new cases in Otero County,
"Jun 10, 2021",,,,,,,,,,
"May 28, 2021",,,,,,,,,,
"May 28, 2021",,,,,,,,,,
"Jun 2, 2021",27 new cases in Bernalillo County,,,1 new case in McKinley County,3 new cases in Eddy County,,,,,1 new case in Otero County
"Jun 2, 2021",,,,,,,,,,
"Jun 1, 2021",,,,,,,,,,
"Jun 1, 2021",,,,,,,,,,
"May 27, 2021",34 new cases in Bernalillo County,,,,4 new cases in Eddy County,,6 new cases in Chaves County,,5 new cases in Otero County,
"May 27, 2021",,,,,,,,,,
"Jun 8, 2021",,,,,,,,,,
"Jun 8, 2021",,,,,,,,,,
"Jun 3, 2021",39 new cases in Bernalillo County,,7 new cases in McKinley County,,2 new cases in Eddy County,,3 new cases in Chaves County,,,1 new case in Otero County
"Jun 3, 2021",,,,,,,,,,
"Jun 7, 2021",,,,,,,,,,
"Jun 7, 2021",,,,,,,,,,
,,,,,,,,,,
"May 26, 2021",33 new cases in Bernalillo County,,,1 new case in McKinley County,,,6 new cases in Chaves County,,2 new cases in Otero County,
"May 26, 2021",,,,,,,,,,
"May 18, 2021",,,,,,,,,,
"May 18, 2021",,,,,,,,,,
"May 25, 2021",,,,,,,,,,
"May 25, 2021",,,,,,,,,,
"May 26, 2021",,,,,,,,,,
"May 26, 2021",,,,,,,,,,
"May 20, 2021",59 new cases in Bernalillo County,,2 new cases in McKinley County,,2 new cases in Eddy County,,,1 new case in Chaves County,9 new cases in Otero County,
"May 20, 2021",,,,,,,,,,
"May 19, 2021",53 new cases in Bernalillo County,,6 new cases in McKinley County,,3 new cases in Eddy County,,7 new cases in Chaves County,,3 new cases in Otero County,
"May 19, 2021",,,,,,,,,,
"May 17, 2021",146 new cases in Bernalillo County,,15 new cases in McKinley County,,7 new cases in Eddy County,,10 new cases in Chaves County,,17 new cases in Otero County,
"May 17, 2021",,,,,,,,,,
,,,,,,,,,,
"May 21, 2021",,,,,,,,,,
"May 21, 2021",,,,,,,,,,
"May 24, 2021",91 new cases in Bernalillo County,,8 new cases in McKinley County,,6 new cases in Eddy County,,5 new cases in Chaves County,,13 new cases in Otero County,
"May 24, 2021",,,,,,,,,,
"May 25, 2021",,,,,,,,,,
"May 25, 2021",,,,,,,,,,
"May 5, 2021",65 new cases in Bernalillo County,,,1 new case in McKinley County,3 new cases in Eddy County,,,1 new case in Chaves County,15 new cases in Otero County,
"May 5, 2021",,,,,,,,,,
"May 6, 2021",79 new cases in Bernalillo County,,7 new cases in McKinley County,,2 new cases in Eddy County,,4 new cases in Chaves County,,15 new cases in Otero County,
"May 6, 2021",,,,,,,,,,
"May 7, 2021",80 new cases in Bernalillo County,,8 new cases in McKinley County,,7 new cases in Eddy County,,6 new cases in Chaves County,,4 new cases in Otero County,
"May 7, 2021",,,,,,,,,,
"May 4, 2021",,,,,,,,,,
"May 4, 2021",,,,,,,,,,
,,,,,,,,,,
"May 10, 2021",157 new cases in Bernalillo County,,14 new cases in McKinley County,,4 new cases in Eddy County,,18 new cases in Chaves County,,16 new cases in Otero County,
"May 10, 2021",,,,,,,,,,
"May 11, 2021",,,,,,,,,,
"May 11, 2021",,,,,,,,,,
"May 14, 2021",75 new cases in Bernalillo County,,9 new cases in McKinley County,,,1 new case in Eddy County,4 new cases in Chaves County,,10 new cases in Otero County,
"May 14, 2021",,,,,,,,,,
"May 13, 2021",73 new cases in Bernalillo County,,4 new cases in McKinley County,,,1 new case in Eddy County,6 new cases in Chaves County,,2 new cases in Otero County,
"May 13, 2021",,,,,,,,,,
"May 12, 2021",68 new cases in Bernalillo County,,8 new cases in McKinley County,,7 new cases in Eddy County,,2 new cases in Chaves County,,3 new cases in Otero County,
"May 12, 2021",,,,,,,,,,
"May 11, 2021",,,,,,,,,,
"May 11, 2021",,,,,,,,,,
"Apr 29, 2021",65 new cases in Bernalillo County,,2 new cases in McKinley County,,3 new cases in Eddy County,,15 new cases in Chaves County,,8 new cases in Otero County,
"Apr 29, 2021",,,,,,,,,,
"Apr 30, 2021",,,,,,,,,,
"Apr 30, 2021",,,,,,,,,,
"May 3, 2021",228 new cases in Bernalillo County,,7 new cases in McKinley County,,16 new cases in Eddy County,,14 new cases in Chaves County,,43 new cases in Otero County,
"May 3, 2021",,,,,,,,,,
"Apr 30, 2021",,,,,,,,,,
"Apr 30, 2021",,,,,,,,,,
,,,,,,,,,,
"Apr 22, 2021",,,,,,,,,,
"Apr 22, 2021",,,,,,,,,,
"Apr 21, 2021",69 new cases in Bernalillo County,,5 new cases in McKinley County,,5 new cases in Eddy County,,3 new cases in Chaves County,,,1 new case in Otero County
"Apr 21, 2021",,,,,,,,,,
"Apr 23, 2021",59 new cases in Bernalillo County,,6 new cases in McKinley County,,12 new cases in Eddy County,,8 new cases in Chaves County,,8 new cases in Otero County,
"Apr 23, 2021",,,,,,,,,,
"Apr 27, 2021",,,,,,,,,,
"Apr 27, 2021",,,,,,,,,,
"Apr 26, 2021",228 new cases in Bernalillo County,,12 new cases in McKinley County,,17 new cases in Eddy County,,36 new cases in Chaves County,,10 new cases in Otero County,
"Apr 26, 2021",,,,,,,,,,
"Apr 28, 2021",93 new cases in Bernalillo County,,9 new cases in McKinley County,,9 new cases in Eddy County,,7 new cases in Chaves County,,4 new cases in Otero County,
"Apr 28, 2021",,,,,,,,,,
"Apr 19, 2021",,,,,,,,,,
"Apr 19, 2021",,,,,,,,,,
"Apr 16, 2021",,,,,,,,,,
"Apr 16, 2021",,,,,,,,,,
"Apr 19, 2021",199 new cases in Bernalillo County,,10 new cases in McKinley County,,19 new cases in Eddy County,,29 new cases in Chaves County,,16 new cases in Otero County,
"Apr 19, 2021",,,,,,,,,,
"Apr 15, 2021",,,,,,,,,,
"Apr 15, 2021",,,,,,,,,,
"Apr 20, 2021",,,,,,,,,,
"Apr 20, 2021",,,,,,,,,,
"Apr 9, 2021",,,,,,,,,,
"Apr 9, 2021",,,,,,,,,,
,,,,,,,,,,
"Apr 9, 2021",,,,,,,,,,
"Apr 9, 2021",,,,,,,,,,
"Apr 12, 2021",227 new cases in Bernalillo County,,9 new cases in McKinley County,,11 new cases in Eddy County,,26 new cases in Chaves County,,9 new cases in Otero County,
"Apr 12, 2021",,,,,,,,,,
"Apr 14, 2021",,,,,,,,,,
"Apr 14, 2021",,,,,,,,,,
"Apr 13, 2021",,,,,,,,,,
"Apr 13, 2021",,,,,,,,,,
"Apr 7, 2021",,,,,,,,,,
"Apr 7, 2021",,,,,,,,,,
"Apr 8, 2021",,,,,,,,,,
"Apr 8, 2021",,,,,,,,,,
"Mar 29, 2021",,,,,,,,,,
"Mar 29, 2021",,,,,,,,,,
"Mar 30, 2021",58 new cases in Bernalillo County,,,1 new case in McKinley County,6 new cases in Eddy County,,3 new cases in Chaves County,,3 new cases in Otero County,
"Mar 30, 2021",,,,,,,,,,
,,,,,,,,,,
"Mar 31, 2021",125 new cases in Bernalillo County,,,,4 new cases in Eddy County,,8 new cases in Chaves County,,6 new cases in Otero County,
"Apr 1, 2021",112 new cases in Bernalillo County,,,,4 new cases in Eddy County,,4 new cases in Chaves County,,20 new cases in Otero County,
"Apr 1, 2021",,,,,,,,,,
"Mar 31, 2021",,,,,,,,,,
"Apr 2, 2021",,,,,,,,,,
"Apr 2, 2021",,,,,,,,,,
"Apr 6, 2021",49 new cases in Bernalillo County,,,,,1 new case in Eddy County,,1 new case in Chaves County,3 new cases in Otero County,
"Apr 6, 2021",,,,,,,,,,
"Apr 5, 2021",,,,,,,,,,
"Apr 5, 2021",,,,,,,,,,
"Apr 6, 2021",,,,,,,,,,
"Apr 6, 2021",,,,,,,,,,
"Mar 22, 2021",67 new cases in Bernalillo County,,2 new cases in McKinley County,,4 new cases in Eddy County,,,1 new case in Chaves County,4 new cases in Otero County,
"Mar 22, 2021",,,,,,,,,,
"Mar 21, 2021",,,,,,,,,,
"Mar 21, 2021",,,,,,,,,,
"Mar 23, 2021",,,,,,,,,,
"Mar 23, 2021",,,,,,,,,,
"Mar 24, 2021",52 new cases in Bernalillo County,,3 new cases in McKinley County,,6 new cases in Eddy County,,3 new cases in Chaves County,,7 new cases in Otero County,
"Mar 24, 2021",,,,,,,,,,
"Mar 25, 2021",94 new cases in Bernalillo County,,7 new cases in McKinley County,,8 new cases in Eddy County,,5 new cases in Chaves County,,6 new cases in Otero County,
"Mar 25, 2021",,,,,,,,,,
"Mar 27, 2021",,,,,,,,,,
"Mar 27, 2021",,,,,,,,,,
"Mar 28, 2021",,,,,,,,,,
"Mar 28, 2021",,,,,,,,,,
"Mar 26, 2021",,,,,,,,,,
"Mar 26, 2021",,,,,,,,,,
"Mar 29, 2021",,,,,,,,,,
"Mar 29, 2021",,,,,,,,,,
,,,,,,,,,,
"Mar 20, 2021",,,,,,,,,,
"Mar 20, 2021",,,,,,,,,,
"Mar 11, 2021",,,,,,,,,,
"Mar 11, 2021",,,,,,,,,,
"Mar 18, 2021",92 new cases in Bernalillo County,,,,10 new cases in Eddy County,,,1 new case in Chaves County,13 new cases in Otero County,
"Mar 18, 2021",,,,,,,,,,
"Mar 14, 2021",,,,,,,,,,
"Mar 14, 2021",,,,,,,,,,
"Mar 13, 2021",,,,,,,,,,
"Mar 13, 2021",,,,,,,,,,
"Mar 11, 2021",77 new cases in Bernalillo County,,6 new cases in McKinley County,,7 new cases in Eddy County,,3 new cases in Chaves County,,9 new cases in Otero County,
"Mar 11, 2021",,,,,,,,,,
"Mar 12, 2021",,,,,,,,,,
"Mar 12, 2021",,,,,,,,,,
"Mar 19, 2021",,,,,,,,,,
"Mar 19, 2021",,,,,,,,,,
,,,,,,,,,,
"Mar 15, 2021",68 new cases in Bernalillo County,,,1 new case in McKinley County,2 new cases in Eddy County,,2 new cases in Chaves County,,12 new cases in Otero County,
"Mar 15, 2021",,,,,,,,,,
"Mar 17, 2021",58 new cases in Bernalillo County,,3 new cases in McKinley County,,14 new cases in Eddy County,,10 new cases in Chaves County,,10 new cases in Otero County,
"Mar 17, 2021",,,,,,,,,,
"Mar 16, 2021",,,,,,,,,,
"Mar 16, 2021",,,,,,,,,,
"Mar 5, 2021",,,,,,,,,,
"Mar 5, 2021",,,,,,,,,,
"Mar 1, 2021",55 new cases in Bernalillo County,,2 new cases in McKinley County,,5 new cases in Eddy County,,,,5 new cases in Otero County,
"Mar 1, 2021",,,,,,,,,,
"Mar 2, 2021",,,,,,,,,,
"Mar 2, 2021",,,,,,,,,,
"Mar 3, 2021",102 new cases in Bernalillo County,,6 new cases in McKinley County,,16 new cases in Eddy County,,13 new cases in Chaves County,,7 new cases in Otero County,
"Mar 3, 2021",,,,,,,,,,
,,,,,,,,,,
