Date,Confirmed Cases,Active Cases,New Cases,Recoveries,Deaths
3/5/2020,0,0,,0,0
3/6/2020,0,0,0,0,0
3/7/2020,0,0,0,0,0
3/8/2020,0,0,0,0,0
3/9/2020,0,0,0,0,0
3/10/2020,0,0,0,0,0
3/11/2020,3,3,3,0,0
3/12/2020,5,5,2,0,0
3/13/2020,10,10,5,0,0
3/14/2020,10,10,0,0,0
3/15/2020,13,13,3,0,0
3/16/2020,17,17,4,0,0
3/17/2020,23,23,6,0,0
3/18/2020,28,28,5,0,0
3/19/2020,35,35,7,0,0
3/20/2020,43,43,8,0,0
3/21/2020,57,57,14,0,0
3/22/2020,57,57,0,0,0
3/23/2020,65,65,8,0,0
3/24/2020,83,83,18,0,0
3/25/2020,100,100,17,0,0
3/26/2020,112,111,12,0,1
3/27/2020,191,190,79,0,1
3/28/2020,208,180,17,26,2
3/29/2020,237,209,29,26,2
3/30/2020,281,251,44,26,4
3/31/2020,315,284,34,26,5
4/1/2020,363,331,48,26,6
4/2/2020,403,365,40,31,7
4/3/2020,495,451,92,34,10
4/4/2020,543,478,48,54,11
4/5/2020,624,482,81,130,12
4/6/2020,686,541,62,133,12
4/7/2020,794,610,108,171,13
4/8/2020,865,648,71,201,16
4/9/2020,989,755,124,217,17
4/10/2020,1091,837,102,235,19
4/11/2020,1174,919,83,235,20
4/12/2020,1245,924,71,295,26
4/13/2020,1345,1010,100,304,31
4/14/2020,1407,1031,62,340,36
4/15/2020,1484,1095,77,353,36
4/16/2020,1597,1200,113,353,44
4/17/2020,1711,1278,114,382,51
4/18/2020,1798,1280,87,465,53
4/19/2020,1845,1303,47,487,55
