date,BernalilloCountyM,BernalilloCountyS
,,
"Apr 30, 2020",,
,,
"May 2, 2020",53 new cases in Bernalillo County,
,,
"May 3, 2020",37 new cases in Bernalillo County,
,,
"May 3, 2020",,
,,
,,
"Apr 28, 2020",44 new cases in Bernalillo County,
,,
"Apr 29, 2020",,
,,
"Apr 30, 2020",48 new cases in Bernalillo County,
,,
"May 1, 2020",,
,,
"Apr 29, 2020",27 new cases in Bernalillo County,
,,
"May 1, 2020",21 new cases in Bernalillo County,
,,
"Apr 21, 2020",20 new cases in Bernalillo County,
,,
"Apr 24, 2020",25 new cases in Bernalillo County,
,,
"Apr 24, 2020",,
,,
"Apr 22, 2020",,
,,
"Apr 22, 2020",15 new cases in Bernalillo County,
,,
"Apr 23, 2020",31 new cases in Bernalillo County,
,,
,,
"Apr 25, 2020",19 new cases in Bernalillo County,
,,
"Apr 26, 2020",18 new cases in Bernalillo County,
,,
"Apr 27, 2020",8 new cases in Bernalillo County,
,,
"Apr 27, 2020",,
,,
"Apr 15, 2020",,
,,
"Apr 15, 2020",,
,,
"Apr 16, 2020",17 new cases in Bernalillo County,
,,
"Apr 15, 2020",13 new cases in Bernalillo County,
,,
,,
"Apr 17, 2020",24 new cases in Bernalillo County,
,,
"Apr 18, 2020",13 new cases in Bernalillo County,
,,
"Apr 17, 2020",,
,,
"Apr 19, 2020",15 new cases in Bernalillo County,
,,
"Apr 10, 2020",,
,,
"Apr 20, 2020",,
,,
"Apr 20, 2020",24 new cases in Bernalillo County,
,,
"Apr 10, 2020",38 new cases in Bernalillo County,
,,
"Apr 9, 2020",,
,,
"Apr 9, 2020",45 new cases in Bernalillo County,
,,
"Apr 12, 2020",18 new cases in Bernalillo County,
,,
"Apr 11, 2020",17 new cases in Bernalillo County,
,,
"Apr 11, 2020",,
,,
,,
"Apr 13, 2020",15 new cases in Bernalillo County,
,,
"Apr 14, 2020",,
,,
"Apr 14, 2020",9 new cases in Bernalillo County,
,,
"Apr 6, 2020",16 new cases in Bernalillo County,
,,
"Apr 2, 2020",15 new cases in Bernalillo County,
,,
"Apr 5, 2020",21 new cases in Bernalillo County,
,,
"Apr 3, 2020",39 new cases in Bernalillo County,
,,
"Apr 4, 2020",23 new cases in Bernalillo County,
,,
,,
"Apr 7, 2020",,
,,
"Apr 6, 2020",,
,,
"Apr 7, 2020",,
,,
"Apr 7, 2020",42 new cases in Bernalillo County,
,,
"Apr 8, 2020",20 new cases in Bernalillo County,
,,
"Mar 28, 2020",11 new cases in Bernalillo County,
,,
"Mar 27, 2020",,
,,
"Mar 29, 2020",,
,,
"Mar 29, 2020",9 new cases in Bernalillo County,
,,
"Mar 27, 2020",,
,,
,,
"Mar 31, 2020",,
,,
"Mar 30, 2020",16 new cases in Bernalillo County,
,,
"Mar 31, 2020",12 new cases in Bernalillo County,
,,
"Apr 1, 2020",,
,,
"Apr 1, 2020",19 new cases in Bernalillo County,
,,
"Mar 23, 2020",,
,,
"Mar 25, 2020",,
,,
"Mar 24, 2020",,
,,
"Mar 25, 2020",,
,,
"Mar 26, 2020",,
,,
"Mar 25, 2020",,
,,
"Mar 26, 2020",,
,,
,,
"Mar 27, 2020",,
,,
"Mar 27, 2020", 27 new cases in Bernalillo County,
,,
"Mar 27, 2020",,
,,
"Mar 19, 2020",,
,,
"Mar 19, 2020",,
,,
"Mar 18, 2020",,
,,
"Mar 20, 2020",,
,,
"Mar 19, 2020",,
,,
"Mar 21, 2020",,
,,
"Mar 20, 2020",,
,,
,,
"Mar 23, 2020",,
,,
"Mar 23, 2020",,
,,
"Mar 22, 2020",,
,,
"Mar 17, 2020",,
,,
"Mar 16, 2020",,
,,
"Mar 16, 2020",,
,,
"Mar 17, 2020",,
,,
"Mar 18, 2020",,
,,
"Mar 17, 2020",,
,,
,,
"Mar 18, 2020",,
,,
"Mar 18, 2020",,
,,
"Mar 18, 2020",,
,,
"Mar 18, 2020",,
,,
"Mar 12, 2020",,
,,
"Mar 13, 2020",,
,,
"Mar 12, 2020",,
,,
"Mar 14, 2020",,
,,
,,
"Mar 14, 2020",,
,,
"Mar 15, 2020",,
,,
"Mar 15, 2020",,
,,
"Mar 15, 2020",,
,,
"Mar 16, 2020",,
,,
"Mar 16, 2020",,
,,
"Feb 20, 2020",,
,,
"Feb 6, 2020",,
,,
"Feb 27, 2020",,
,,
"Feb 13, 2020",,
,,
,,
"Mar 6, 2020",,
,,
"Mar 10, 2020",,
,,
"Mar 3, 2020",,
,,
"Mar 11, 2020",,
,,
"Mar 11, 2020",,
,,
"Mar 11, 2020",,
,,
"Jan 22, 2020",,
,,
"Jan 27, 2020",,
,,
